Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
colic,arff;-0,43478261;0,3556;0,6810;0,7527;0,7261;0,7669;0,6310;0,6633;
vote,arff;-0,07373272;0,6368;0,9447;0,9447;0,9447;0,9447;0,9447;0,9447;
urbanland,arff;-0,22551929;0,5430;0,8150;0,7768;0,6507;0,8444;0,7975;0,7950;
lung-cancer,arff;-0,37500000;0,3392;0,7546;0,7674;0,7241;0,5625;0,5625;0,6202;
primary-tumor,arff;-0,59171598;0,0528;0,3036;0,3082;0,3159;0,3061;0,2491;0,2891;
heart-c,arff;-0,17880795;0,5072;0,7552;0,7554;0,7493;0,7550;0,6785;0,6984;
breast-cancer,arff;-0,27972028;0,4910;0,7343;0,7319;0,7343;0,7343;0,7203;0,7063;
solar-flare,arff;-0,01863354;0,7512;0,9814;0,9814;0,9814;0,9814;0,9814;0,9814;
sponge,arff;-0,15789474;0,6023;0,8421;0,8386;0,8421;0,8421;0,8421;0,8421;
flags,arff;-0,45360825;0,2599;0,6035;0,6023;0,5630;0,6193;0,5856;0,5678;
heart-h,arff;-0,72108844;0,0276;0,2789;0,2789;0,2789;0,2789;0,2789;0,2789;
zoo,arff;-0,18000000;0,5251;0,7719;0,7692;0,7276;0,7628;0,6476;0,7429;
lymph,arff;-0,24324324;0,4710;0,7596;0,7708;0,7850;0,7898;0,7551;0,7432;
autos,arff;-0,69607843;0,0575;0,4689;0,4634;0,3936;0,4790;0,3137;0,3614;
breast-w,arff;-0,01719198;0,7743;0,9557;0,9632;0,9429;0,9685;0,9200;0,9085;
synthetic-control,arff;-1,00000000;-0,2432;0,0000;-0,0052;0,0000;0,0000;0,0000;0,0000;
sonar,arff;-0,97115385;-0,2089;0,1742;0,1088;-0,0646;0,1879;0,0533;0,0385;
credit-a,arff;-0,19130435;0,5158;0,8965;0,8959;0,8986;0,8986;0,8986;0,8986;
dermatology,arff;-0,07650273;0,6043;0,8445;0,8607;0,8439;0,9150;0,7047;0,7173;
cylinder-bands,arff;-0,44814815;0,2987;0,5703;0,6253;0,5883;0,6857;0,6190;0,5513;
audiology,arff;-0,49557522;0,1825;0,5905;0,5522;0,5548;0,5899;0,5857;0,5851;
labor,arff;-0,25000000;0,4549;0,7724;0,8173;0,7987;0,8030;0,7500;0,7500;
hepatitis,arff;-0,32467532;0,4333;0,7310;0,7368;0,6927;0,7209;0,7251;0,6753;
heart-statlog,arff;-0,20000000;0,5491;0,8046;0,8006;0,7704;0,7704;0,8073;0,8073;
soybean,arff;-0,13489736;0,4967;0,6979;0,7271;0,6988;0,7412;0,6775;0,7073;
Hill_Valley_sample,arff;-0,46534653;0,3024;0,5559;0,5620;0,5350;0,5903;0,5282;0,5221;
glass,arff;-0,41121495;0,3803;0,5730;0,6067;0,6145;0,5517;0,5210;0,4206;
ionosphere,arff;-0,06285714;0,6891;0,9314;0,9271;0,9414;0,9405;0,9128;0,9136;
molecular-biology,arff;-0,71698113;-0,0140;0,4005;0,3960;-0,1121;0,4623;0,3579;0,3491;
