Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
colic,arff;Info Gain Ranker;0,56521739;0,11956522;
colic,arff;Pearson Correlation Ranker;0,56521739;0,07608696;
colic,arff;Random;0,56521739;0,00833334;
colic,arff;Sequential Forward Selection;0,56521739;0,21739131;
colic,arff;Sequential Backward Selection;0,56521739;0,18478261;
colic,arff;AMSO;0,56521739;0,16576087;
colic,arff;GA;0,56521739;0,22336957;
vote,arff;Info Gain Ranker;0,92626728;0,01843318;
vote,arff;Pearson Correlation Ranker;0,92626728;0,01843318;
vote,arff;Random;0,92626728;-0,03809524;
vote,arff;Sequential Forward Selection;0,92626728;0,02764977;
vote,arff;Sequential Backward Selection;0,92626728;0,02304148;
vote,arff;AMSO;0,92626728;0,02380953;
vote,arff;GA;0,92626728;0,03133641;
urbanland,arff;Random;0,77448071;0,00464887;
urbanland,arff;Info Gain Ranker;0,77448071;0,06824926;
urbanland,arff;Pearson Correlation Ranker;0,77448071;0,07121662;
urbanland,arff;Sequential Forward Selection;0,77448071;0,07715134;
urbanland,arff;AMSO;0,77448071;0,06478734;
urbanland,arff;Sequential Backward Selection;0,77448071;0,07715134;
urbanland,arff;GA;0,77448071;0,07388724;
lung-cancer,arff;Random;0,625;-0,03958333;
lung-cancer,arff;Pearson Correlation Ranker;0,625;0,0625;
lung-cancer,arff;Info Gain Ranker;0,625;0,0625;
lung-cancer,arff;Sequential Forward Selection;0,625;-0,0625;
lung-cancer,arff;Sequential Backward Selection;0,625;0,125;
lung-cancer,arff;AMSO;0,625;0,17708333;
lung-cancer,arff;GA;0,625;0,225;
primary-tumor,arff;Pearson Correlation Ranker;0,40828402;0,00591716;
primary-tumor,arff;Info Gain Ranker;0,40828402;0,0295858;
primary-tumor,arff;Random;0,40828402;-0,08639053;
primary-tumor,arff;Sequential Backward Selection;0,40828402;0,03550296;
primary-tumor,arff;Sequential Forward Selection;0,40828402;0,00591716;
primary-tumor,arff;AMSO;0,40828402;-0,0122288;
primary-tumor,arff;GA;0,40828402;0,03234714;
heart-c,arff;Pearson Correlation Ranker;0,82119205;0,0397351;
heart-c,arff;Info Gain Ranker;0,82119205;0,0397351;
heart-c,arff;Random;0,82119205;-0,0825607;
heart-c,arff;Sequential Backward Selection;0,82119205;0,05960265;
heart-c,arff;Sequential Forward Selection;0,82119205;0,0;
heart-c,arff;AMSO;0,82119205;2,2075E-4;
heart-c,arff;GA;0,82119205;0,04922738;
