;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;

colic,;0,3186;0,4903;0,5417;0,4566;0,5443;0,4491;0,4751;
vote,a;0,2976;0,4129;0,4128;0,4129;0,4129;0,4129;0,4129;
urbanl;0,3007;0,4334;0,4165;0,3790;0,4511;0,4243;0,4260;
lung-c;0,2882;0,5021;0,5203;0,4772;0,3562;0,3679;0,3981;
primar;0,2583;0,3454;0,3556;0,3613;0,3571;0,3035;0,3346;
heart-;0,2358;0,3652;0,3651;0,3654;0,3536;0,3097;0,3376;
breast;0,2973;0,4098;0,4098;0,3831;0,4098;0,4000;0,3902;
solar-;0,3065;0,4000;0,4000;0,4000;0,4000;0,4000;0,4000;
sponge;0,3121;0,4000;0,3992;0,4000;0,4000;0,4000;0,4000;
flags,;0,2785;0,4514;0,4504;0,3974;0,4570;0,4404;0,4178;
heart-;0,3036;0,4000;0,4000;0,4000;0,4000;0,4000;0,4000;
zoo,ar;0,2855;0,3797;0,3877;0,3811;0,3651;0,3367;0,3572;
lymph,;0,2859;0,4127;0,4264;0,3888;0,4335;0,4156;0,4054;
autos,;0,3009;0,5284;0,5281;0,4947;0,5259;0,4351;0,4455;
breast;0,3075;0,3870;0,3883;0,3832;0,3900;0,3671;0,3591;
synthe;0,3010;0,4000;0,3980;0,4000;0,4000;0,4000;0,4000;
sonar,;0,3001;0,5010;0,4644;0,3757;0,5127;0,4184;0,4067;
credit;0,2760;0,4626;0,4621;0,4629;0,4629;0,4629;0,4629;
dermat;0,2319;0,3669;0,3763;0,3202;0,4048;0,2961;0,2958;
cylind;0,3011;0,4237;0,4576;0,4245;0,4957;0,4491;0,4142;
audiol;0,2389;0,4666;0,4475;0,4573;0,4634;0,4617;0,4588;
labor,;0,2603;0,4421;0,4672;0,4623;0,4426;0,4090;0,4000;
hepati;0,3067;0,4455;0,4523;0,4420;0,4430;0,4394;0,4000;
heart-;0,2816;0,4157;0,4159;0,3896;0,4207;0,4207;0,4207;
soybea;0,2240;0,3194;0,3345;0,2991;0,3372;0,2954;0,3180;
Hill_V;0,3049;0,4184;0,4326;0,4134;0,4430;0,4014;0,3999;
glass,;0,2956;0,4165;0,4409;0,4439;0,4045;0,3785;0,3366;
ionosp;0,3108;0,4049;0,4087;0,4137;0,4048;0,3937;0,3974;
molecu;0,2666;0,4889;0,4976;0,2872;0,5283;0,4582;0,4491;
