;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;

colic,;0,0953;0,2435;0,2937;0,2227;0,2935;0,1674;0,2055;
vote,a;0,0518;0,1183;0,1189;0,1081;0,1209;0,1166;0,1166;
urbanl;0,0742;0,1544;0,1552;0,1176;0,1687;0,1427;0,1520;
lung-c;0,0647;0,2556;0,3030;0,2099;0,0438;0,0973;0,1315;
primar;-0,003;0,0703;0,1049;0,0890;0,0901;0,0390;0,0909;
heart-;-0,003;0,0890;0,1077;0,1023;0,0914;0,0953;0,0953;
breast;0,0630;0,1276;0,1325;0,1414;0,1291;0,1099;0,0973;
solar-;0,0756;0,1000;0,1000;0,1000;0,1000;0,1000;0,1000;
sponge;0,0764;0,1000;0,0998;0,1000;0,1000;0,1000;0,1000;
flags,;0,0212;0,1837;0,2043;0,1927;0,1815;0,1699;0,1323;
heart-;0,0785;0,1000;0,1000;0,1000;0,1000;0,1000;0,1000;
zoo,ar;0,0409;0,1136;0,1398;0,1527;0,0623;0,0987;0,1110;
lymph,;0,0380;0,1437;0,1860;0,1410;0,1574;0,1431;0,1797;
autos,;0,0829;0,2692;0,2802;0,2725;0,2665;0,2145;0,1682;
breast;0,0601;0,0937;0,0923;0,0937;0,0911;0,0810;0,0810;
synthe;0,0770;0,1000;0,0996;0,1000;0,1000;0,1000;0,1000;
sonar,;0,0708;0,2378;0,2061;0,1497;0,2467;0,1322;0,1144;
credit;0,0423;0,1812;0,1849;0,1693;0,1809;0,1809;0,1809;
dermat;-0,013;0,0891;0,1163;0,0925;0,1249;0,0577;0,0483;
cylind;0,0526;0,1454;0,1948;0,1914;0,2286;0,1660;0,1385;
audiol;0,0163;0,1899;0,2060;0,2042;0,1864;0,1860;0,1789;
labor,;0,0203;0,1885;0,2128;0,2192;0,1624;0,1282;0,1954;
hepati;0,0711;0,1668;0,1783;0,1530;0,1861;0,1569;0,1036;
heart-;0,0450;0,1468;0,1473;0,1152;0,1481;0,1481;0,1481;
soybea;-0,021;0,0417;0,0816;0,0626;0,0524;0,0418;0,0539;
Hill_V;0,0812;0,1349;0,1648;0,1245;0,1610;0,1225;0,1234;
glass,;0,0721;0,1697;0,1974;0,1820;0,1689;0,1231;0,1180;
ionosp;0,0744;0,1271;0,1324;0,1042;0,1095;0,1109;0,1187;
molecu;0,0498;0,2306;0,2578;0,1812;0,2689;0,1830;0,1670;
