Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
colic,arff;Pearson Correlation Ranker;0,40869565;0,16744937;
colic,arff;Info Gain Ranker;0,40869565;0,20545563;
colic,arff;Random;0,40869565;0,09531057;
colic,arff;Sequential Forward Selection;0,40869565;0,29349911;
colic,arff;Sequential Backward Selection;0,40869565;0,22270565;
colic,arff;AMSO;0,40869565;0,243471;
colic,arff;GA;0,40869565;0,29372809;
vote,arff;Info Gain Ranker;0,73364055;0,11658986;
vote,arff;Pearson Correlation Ranker;0,73364055;0,11658986;
vote,arff;Random;0,73364055;0,05178884;
vote,arff;Sequential Forward Selection;0,73364055;0,12089195;
vote,arff;Sequential Backward Selection;0,73364055;0,10808606;
vote,arff;AMSO;0,73364055;0,11829356;
vote,arff;GA;0,73364055;0,1189498;
urbanland,arff;Random;0,59703264;0,07421369;
urbanland,arff;Pearson Correlation Ranker;0,59703264;0,14265539;
urbanland,arff;Info Gain Ranker;0,59703264;0,15198218;
urbanland,arff;Sequential Forward Selection;0,59703264;0,16871268;
urbanland,arff;AMSO;0,59703264;0,1544335;
urbanland,arff;Sequential Backward Selection;0,59703264;0,11757029;
urbanland,arff;GA;0,59703264;0,15523188;
lung-cancer,arff;Random;0,4625;0,06465186;
lung-cancer,arff;Info Gain Ranker;0,4625;0,13148144;
lung-cancer,arff;Pearson Correlation Ranker;0,4625;0,09725474;
lung-cancer,arff;Sequential Forward Selection;0,4625;0,04375;
lung-cancer,arff;Sequential Backward Selection;0,4625;0,20991281;
lung-cancer,arff;AMSO;0,4625;0,25556675;
lung-cancer,arff;GA;0,4625;0,30304221;
primary-tumor,arff;Pearson Correlation Ranker;0,26745562;0,03895759;
primary-tumor,arff;Info Gain Ranker;0,26745562;0,09088316;
primary-tumor,arff;Random;0,26745562;-0,00312628;
primary-tumor,arff;Sequential Forward Selection;0,26745562;0,09008796;
primary-tumor,arff;Sequential Backward Selection;0,26745562;0,08895627;
primary-tumor,arff;AMSO;0,26745562;0,07032109;
primary-tumor,arff;GA;0,26745562;0,10492463;
heart-c,arff;Info Gain Ranker;0,63907284;0,0952995;
heart-c,arff;Pearson Correlation Ranker;0,63907284;0,0952995;
heart-c,arff;Random;0,63907284;-0,00354323;
heart-c,arff;Sequential Backward Selection;0,63907284;0,10227113;
heart-c,arff;Sequential Forward Selection;0,63907284;0,09135246;
heart-c,arff;AMSO;0,63907284;0,0890043;
heart-c,arff;GA;0,63907284;0,10772335;
breast-cancer,arff;Pearson Correlation Ranker;0,54825175;0,10993734;
breast-cancer,arff;Info Gain Ranker;0,54825175;0,09734992;
breast-cancer,arff;Sequential Forward Selection;0,54825175;0,12911468;
breast-cancer,arff;Random;0,54825175;0,06296534;
breast-cancer,arff;Sequential Backward Selection;0,54825175;0,14140587;
breast-cancer,arff;GA;0,54825175;0,13254288;
breast-cancer,arff;AMSO;0,54825175;0,12764597;
solar-flare,arff;Pearson Correlation Ranker;0,78322981;0,1;
solar-flare,arff;Info Gain Ranker;0,78322981;0,1;
solar-flare,arff;Sequential Forward Selection;0,78322981;0,1;
solar-flare,arff;Random;0,78322981;0,0756073;
solar-flare,arff;Sequential Backward Selection;0,78322981;0,1;
solar-flare,arff;AMSO;0,78322981;0,1;
solar-flare,arff;GA;0,78322981;0,1;
sponge,arff;Random;0,65789473;0,07644313;
sponge,arff;Info Gain Ranker;0,65789473;0,1;
sponge,arff;Pearson Correlation Ranker;0,65789473;0,1;
sponge,arff;Sequential Forward Selection;0,65789473;0,1;
sponge,arff;Sequential Backward Selection;0,65789473;0,1;
sponge,arff;AMSO;0,65789473;0,1;
sponge,arff;GA;0,65789473;0,09983975;
flags,arff;Info Gain Ranker;0,39175257;0,13233145;
flags,arff;Pearson Correlation Ranker;0,39175257;0,16989908;
flags,arff;Random;0,39175257;0,02124745;
flags,arff;Sequential Forward Selection;0,39175257;0,18151885;
flags,arff;Sequential Backward Selection;0,39175257;0,19273666;
flags,arff;AMSO;0,39175257;0,18374182;
flags,arff;GA;0,39175257;0,20432566;
heart-h,arff;Info Gain Ranker;0,1510204;0,1;
heart-h,arff;Pearson Correlation Ranker;0,1510204;0,1;
heart-h,arff;Sequential Forward Selection;0,1510204;0,1;
heart-h,arff;Random;0,1510204;0,07849286;
heart-h,arff;Sequential Backward Selection;0,1510204;0,1;
heart-h,arff;AMSO;0,1510204;0,1;
heart-h,arff;GA;0,1510204;0,1;
zoo,arff;Info Gain Ranker;0,638;0,11100361;
zoo,arff;Pearson Correlation Ranker;0,638;0,09868423;
zoo,arff;Random;0,638;0,04086483;
zoo,arff;Sequential Forward Selection;0,638;0,0622802;
zoo,arff;Sequential Backward Selection;0,638;0,15268423;
zoo,arff;AMSO;0,638;0,11359734;
zoo,arff;GA;0,638;0,13982427;
lymph,arff;Pearson Correlation Ranker;0,58108108;0,14307853;
lymph,arff;Info Gain Ranker;0,58108108;0,17973217;
lymph,arff;Random;0,58108108;0,03803187;
lymph,arff;Sequential Forward Selection;0,58108108;0,15735376;
lymph,arff;Sequential Backward Selection;0,58108108;0,14103214;
lymph,arff;AMSO;0,58108108;0,14367656;
lymph,arff;GA;0,58108108;0,18600019;
autos,arff;Pearson Correlation Ranker;0,17352941;0,21446231;
autos,arff;Info Gain Ranker;0,17352941;0,16823793;
autos,arff;Random;0,17352941;0,08293466;
autos,arff;Sequential Forward Selection;0,17352941;0,26652824;
autos,arff;Sequential Backward Selection;0,17352941;0,27246707;
autos,arff;AMSO;0,17352941;0,26918557;
autos,arff;GA;0,17352941;0,28022301;
breast-w,arff;Pearson Correlation Ranker;0,78452722;0,08103726;
breast-w,arff;Info Gain Ranker;0,78452722;0,08103726;
breast-w,arff;Sequential Forward Selection;0,78452722;0,09113661;
breast-w,arff;Random;0,78452722;0,06010964;
breast-w,arff;Sequential Backward Selection;0,78452722;0,09371541;
breast-w,arff;GA;0,78452722;0,09229006;
breast-w,arff;AMSO;0,78452722;0,09371541;
synthetic-control,arff;Sequential Forward Selection;-0,1;0,1;
synthetic-control,arff;Random;-0,1;0,07701801;
synthetic-control,arff;Pearson Correlation Ranker;-0,1;0,1;
synthetic-control,arff;Info Gain Ranker;-0,1;0,1;
synthetic-control,arff;Sequential Backward Selection;-0,1;0,1;
synthetic-control,arff;AMSO;-0,1;0,1;
synthetic-control,arff;GA;-0,1;0,09956418;
sonar,arff;Random;-0,07403846;0,07083315;
sonar,arff;Info Gain Ranker;-0,07403846;0,11437604;
sonar,arff;Pearson Correlation Ranker;-0,07403846;0,13222122;
sonar,arff;Sequential Forward Selection;-0,07403846;0,24667318;
sonar,arff;Sequential Backward Selection;-0,07403846;0,14969153;
sonar,arff;AMSO;-0,07403846;0,23783043;
sonar,arff;GA;-0,07403846;0,20610113;
credit-a,arff;Info Gain Ranker;0,62782609;0,18086956;
credit-a,arff;Pearson Correlation Ranker;0,62782609;0,18086956;
credit-a,arff;Sequential Forward Selection;0,62782609;0,18086956;
credit-a,arff;Random;0,62782609;0,04229153;
credit-a,arff;Sequential Backward Selection;0,62782609;0,1693022;
credit-a,arff;AMSO;0,62782609;0,18124854;
credit-a,arff;GA;0,62782609;0,18493598;
dermatology,arff;Info Gain Ranker;0,73114754;0,04825967;
dermatology,arff;Random;0,73114754;-0,012964;
dermatology,arff;Pearson Correlation Ranker;0,73114754;0,05768846;
dermatology,arff;Sequential Forward Selection;0,73114754;0,12486959;
dermatology,arff;Sequential Backward Selection;0,73114754;0,09252196;
dermatology,arff;AMSO;0,73114754;0,08910367;
dermatology,arff;GA;0,73114754;0,11633141;
cylinder-bands,arff;Random;0,39666666;0,05260683;
cylinder-bands,arff;Pearson Correlation Ranker;0,39666666;0,16597259;
cylinder-bands,arff;Info Gain Ranker;0,39666666;0,13846167;
cylinder-bands,arff;Sequential Forward Selection;0,39666666;0,22856848;
cylinder-bands,arff;Sequential Backward Selection;0,39666666;0,19137388;
cylinder-bands,arff;AMSO;0,39666666;0,14537207;
cylinder-bands,arff;GA;0,39666666;0,19479081;
audiology,arff;Random;0,3539823;0,01630989;
audiology,arff;Pearson Correlation Ranker;0,3539823;0,18599898;
audiology,arff;Info Gain Ranker;0,3539823;0,17886747;
audiology,arff;Sequential Forward Selection;0,3539823;0,18642258;
audiology,arff;Sequential Backward Selection;0,3539823;0,20415069;
audiology,arff;AMSO;0,3539823;0,18992699;
audiology,arff;GA;0,3539823;0,20596788;
labor,arff;Pearson Correlation Ranker;0,575;0,12815001;
labor,arff;Info Gain Ranker;0,575;0,19544841;
labor,arff;Random;0,575;0,02034568;
labor,arff;Sequential Forward Selection;0,575;0,16244222;
labor,arff;Sequential Backward Selection;0,575;0,21915087;
labor,arff;AMSO;0,575;0,18852837;
labor,arff;GA;0,575;0,21280191;
hepatitis,arff;Pearson Correlation Ranker;0,50779221;0,15692529;
hepatitis,arff;Info Gain Ranker;0,50779221;0,1035704;
hepatitis,arff;Random;0,50779221;0,07106572;
hepatitis,arff;Sequential Forward Selection;0,50779221;0,18608315;
hepatitis,arff;Sequential Backward Selection;0,50779221;0,15299803;
hepatitis,arff;AMSO;0,50779221;0,16683326;
hepatitis,arff;GA;0,50779221;0,17833159;
heart-statlog,arff;Pearson Correlation Ranker;0,62;0,14813556;
heart-statlog,arff;Info Gain Ranker;0,62;0,14813556;
heart-statlog,arff;Random;0,62;0,04497958;
heart-statlog,arff;Sequential Forward Selection;0,62;0,14813556;
heart-statlog,arff;Sequential Backward Selection;0,62;0,11520903;
heart-statlog,arff;AMSO;0,62;0,1467867;
heart-statlog,arff;GA;0,62;0,14726499;
soybean,arff;Random;0,67859238;-0,02145914;
soybean,arff;Pearson Correlation Ranker;0,67859238;0,04184597;
soybean,arff;Info Gain Ranker;0,67859238;0,0538967;
soybean,arff;Sequential Forward Selection;0,67859238;0,05242086;
soybean,arff;Sequential Backward Selection;0,67859238;0,06258213;
soybean,arff;AMSO;0,67859238;0,04168758;
soybean,arff;GA;0,67859238;0,08160979;
Hill_Valley_sample,arff;Random;0,38118812;0,08121102;
Hill_Valley_sample,arff;Info Gain Ranker;0,38118812;0,12336685;
