;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;

colic,;0,2181;0,3922;0,4582;0,3985;0,4620;0,3235;0,3642;
vote,a;0,1550;0,2684;0,2684;0,2684;0,2684;0,2684;0,2684;
urbanl;0,1961;0,3052;0,2974;0,1975;0,3253;0,2936;0,2996;
lung-c;0,1439;0,4051;0,4663;0,3685;0,1875;0,2299;0,2506;
primar;0,1112;0,1976;0,2217;0,2225;0,2207;0,1497;0,1902;
heart-;0,1034;0,2225;0,2290;0,2251;0,2284;0,1978;0,1978;
breast;0,1849;0,2693;0,2716;0,2748;0,2703;0,2500;0,2360;
solar-;0,1865;0,2500;0,2500;0,2500;0,2500;0,2500;0,2500;
sponge;0,1904;0,2500;0,2496;0,2500;0,2500;0,2500;0,2500;
flags,;0,1397;0,3329;0,3530;0,3001;0,3378;0,3217;0,2785;
heart-;0,1935;0,2500;0,2500;0,2500;0,2500;0,2500;0,2500;
zoo,ar;0,1379;0,2486;0,2711;0,2817;0,2057;0,2217;0,2025;
lymph,;0,1490;0,2856;0,3154;0,3038;0,3089;0,2901;0,3142;
autos,;0,1725;0,4422;0,4350;0,4238;0,4335;0,3523;0,3226;
breast;0,1745;0,2379;0,2369;0,2379;0,2357;0,2169;0,2169;
synthe;0,1901;0,2500;0,2488;0,2500;0,2500;0,2500;0,2500;
sonar,;0,1892;0,3933;0,3620;0,2781;0,4124;0,2825;0,2619;
credit;0,1460;0,3397;0,3380;0,3073;0,3399;0,3399;0,3399;
dermat;0,0987;0,2273;0,2435;0,2093;0,2712;0,1603;0,1603;
cylind;0,1665;0,2962;0,3504;0,3210;0,3909;0,3223;0,2860;
audiol;0,1193;0,3512;0,3509;0,3555;0,3444;0,3433;0,3365;
labor,;0,1398;0,3503;0,3688;0,3693;0,3168;0,2757;0,3100;
hepati;0,1875;0,3219;0,3313;0,2689;0,3353;0,3111;0,2500;
heart-;0,1505;0,2931;0,2924;0,2232;0,2963;0,2963;0,2963;
soybea;0,0596;0,1660;0,2049;0,1752;0,1860;0,1457;0,1674;
Hill_V;0,1889;0,2838;0,3107;0,2122;0,3159;0,2610;0,2592;
glass,;0,1801;0,3060;0,3355;0,3405;0,3054;0,2471;0,2367;
ionosp;0,1882;0,2718;0,2749;0,2440;0,2594;0,2525;0,2613;
molecu;0,1468;0,3916;0,4104;0,2644;0,4363;0,3395;0,3231;
