Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
cylinder-bands-6332.arff,39,2,540,19.4609489,6.7786113,2.136987,0,0.8356993,0.0168292,0.1781502,3.9351741,0,0.8356993,0.0168292,0.1759093,3.7859093,0.6472163,0.6615177,0.6463002,0.6839895,0.6133182,0.630831,0.6126484
fri_c3_100_50-716.arff,50,2,100,24.9664771,9.9955748,1.341612,0,0.4284889,0,0.066264,5.5027682,0,0.4284889,0,0.0656112,5.3394941,0.7465723,0.6949084,0.7039772,0.7494654,0.6783178,0.7494654,0.7494654
autoHorse-840.arff,25,2,205,12.4278321,4.7349771,1.6609563,0,0.5725018,0.2003176,0.2010107,0.2979577,0,0.5725018,0.2003176,0.1971072,0.2804472,0.6407139,0.6515761,0.6505876,0.6645869,0.5951219,0.6191925,0.6338266
fri_c0_100_50-850.arff,50,2,100,24.9683945,10.0166133,1.3324249,0,0.1582492,0,0.0302205,4.8527384,0,0.1582492,0,0.0299227,4.7087515,0.672863,0.7012664,0.717545,0.66,0.6741509,0.6494654,0.6494654
fri_c2_500_50-920.arff,50,2,500,24.9389883,8.8671073,2.1257245,0,0.4633183,0,0.0848273,4.8139646,0,0.4633183,0,0.0839915,4.6711282,0.7294654,0.6913161,0.663545,0.7309051,0.7294654,0.7294654,0.7294654
colic-25.arff,27,2,368,13.4613815,4.8095908,1.8122189,0,0.8688608,0.0064588,0.1698777,4.6033027,0,0.8688608,0.0064588,0.1668166,4.3524724,0.6420881,0.6645686,0.640246,0.6713163,0.6044133,0.6223367,0.6435986
TuningSVMs-41976.arff,81,2,156,40.4351943,14.5714534,2.1248576,0,0.9305861,0,0.1080214,7.6376651,0,0.9305861,0,0.1073608,7.4972071,0.6546935,0.6767271,0.686649,0.6961158,0.6300621,0.632258,0.6498931
arrhythmia-5.arff,279,16,452,139.4734583,46.9707142,2.1456195,0,0.3638175,0,0.081053,1.6761445,0,0.3638175,0,0.0809081,1.6671516,0.6567869,0.6275911,0.6243628,0.6897478,0.6448343,0.6507069,0.6316793
flags-1012.arff,29,2,194,14.4102745,5.0987722,1.9370396,0,0.9390302,0.0157498,0.1732047,4.9340322,0,0.9390302,0.0157498,0.1702935,4.6834233,0.6435943,0.6574245,0.6596151,0.6725954,0.6390393,0.6082969,0.6426345
auto_price-745.arff,15,2,159,7.3231009,2.7584399,1.6655028,0,0.6926492,0.6009105,0.2777764,-0.5318863,0,0.6926492,0.6009105,0.2689558,-0.4803556,0.7125641,0.7109837,0.7021589,0.7125,0.7144223,0.6991623,0.6509747
TuningSVMs-41977.arff,91,2,156,45.4228437,16.3325107,2.1257331,0,0.9520403,0,0.109802,6.7569942,0,0.9520403,0,0.1092036,6.6463052,0.6578141,0.6730991,0.6878192,0.6774193,0.6346628,0.62492,0.6496681
ar6-1064.arff,29,2,101,14.3088634,5.5019702,1.6503054,0,0.0950202,0,0.0326699,1.9513095,0,0.0950202,0,0.0321208,1.8521988,0.7,0.7045191,0.6996589,0.7,0.68,0.6429123,0.6668911
fri_c1_250_50-769.arff,50,2,250,24.9690372,8.9556485,2.1243208,0,0.393684,0,0.0667262,4.8158392,0,0.393684,0,0.0660688,4.6729472,0.7269051,0.6748117,0.6663661,0.7269051,0.7183178,0.7269051,0.7269051
hepatitis-55.arff,19,2,155,9.4728315,3.201253,2.1436714,0,0.182457,0.059379,0.0519777,0.7261212,0,0.182457,0.059379,0.0506616,0.6702787,0.6473895,0.6473417,0.6452375,0.643645,0.6335119,0.6065278,0.5870968
sensory-826.arff,11,2,576,5.444089,1.7520695,2.1933858,0.000009,0.0501481,0.0032358,0.0149893,2.3806936,0.000009,0.0501481,0.0032358,0.0143511,2.0686453,0.6216962,0.6217039,0.6139131,0.6214709,0.6173913,0.5621969,0.5762932
fri_c4_1000_50-797.arff,50,2,1000,24.9556729,8.687873,2.1348457,0,0.3613427,0,0.0636784,4.7710673,0,0.3613427,0,0.063051,4.6295037,0.7248189,0.6875913,0.6693349,0.7287023,0.7249051,0.7223178,0.7249051
usp05-1047.arff,16,11,203,7.8250141,2.9130735,1.4404922,0.1247355,1.8607516,0.7446194,0.5485053,0.280298,0.1247355,1.8607516,0.7446194,0.5321283,0.2547996,0.6364311,0.6306576,0.6157602,0.6376627,0.585549,0.6152708,0.5786863
autos-975.arff,25,2,205,12.3596975,4.826232,1.4451326,0,0.3349123,0.0295371,0.0814738,1.725391,0,0.3349123,0.0295371,0.0798916,1.6239924,0.7175554,0.7253919,0.7113141,0.702439,0.6671739,0.702439,0.681808
autos-9.arff,25,7,205,12.4631221,4.3548176,2.0657448,0,1.1895624,0.2688957,0.3105035,1.3215877,0,1.1895624,0.2688957,0.3044737,1.2439201,0.6947012,0.6942347,0.6840354,0.7000887,0.6419405,0.6671739,0.6610643
molecular-biology_promoters-164.arff,58,4,106,28.9050224,11.4559821,1.6326612,0.0167458,1.9595383,0.0655161,0.2510511,7.3644141,0.0167458,1.9595383,0.0655161,0.2489145,7.1757702,0.664708,0.6726378,0.6719004,0.647161,0.6148088,0.6154165,0.6260845
lsvt-1484.arff,310,2,126,154.8279155,55.766577,2.1261792,0,0.3516836,0,0.0789735,1.1742316,0,0.3516836,0,0.0788464,1.1685604,0.7001002,0.6953482,0.6957368,0.7197488,0.6702143,0.66231,0.6698241
fri_c4_250_100-834.arff,100,2,250,49.954188,18.1400334,2.1233289,0,0.4040224,0,0.0530359,6.7751634,0,0.4040224,0,0.0527727,6.6741107,0.7044284,0.6567375,0.6786097,0.7117385,0.6786297,0.7077385,0.7074709
arrhythmia-1017.arff,279,2,452,139.4727867,50.0817168,2.1249577,0,0.1177981,0.0050022,0.0277438,1.2579224,0,0.1177981,0.0050022,0.0276942,1.2511734,0.673631,0.638431,0.6321674,0.6854267,0.6389108,0.6326835,0.659389
fri_c0_1000_50-904.arff,50,2,1000,24.8287324,9.2472263,1.7151043,0,0.1623841,0,0.0343615,3.7395741,0,0.1623841,0,0.034023,3.6286163,0.6917771,0.6524298,0.6426589,0.6957023,0.6839051,0.6893178,0.6893178
TuningSVMs-41978.arff,81,2,156,40.4531961,14.6136966,2.1238643,0,0.9694309,0,0.1124993,7.5530817,0,0.9694309,0,0.1118112,7.4141792,0.6312496,0.6515424,0.6507635,0.6506109,0.6089254,0.5994386,0.6087648
fri_c2_250_50-877.arff,50,2,250,24.9519761,8.9304661,2.1247916,0,0.4273215,0,0.077264,4.9229381,0,0.4273215,0,0.0765027,4.7768683,0.709523,0.676967,0.6599772,0.7114654,0.7034654,0.7034654,0.7034654
fri_c2_1000_50-866.arff,50,2,1000,24.9576142,8.7360582,2.131698,0,0.4485162,0,0.0772796,4.9717158,0,0.4485162,0,0.0765183,4.8241987,0.71286,0.6807922,0.6619295,0.7119051,0.7133178,0.7133178,0.7133178
fri_c1_100_25-812.arff,25,2,100,12.3799631,4.7794331,1.6465872,0,0.4320582,0,0.1120827,3.3287852,0,0.4320582,0,0.1099061,3.1331576,0.6691735,0.666319,0.6647625,0.6876497,0.6376497,0.6688812,0.6688812
DiabeticMellitus-41430.arff,97,2,281,48.4088846,17.414986,2.124995,0,0.885679,0,0.0925513,9.0249487,0,0.885679,0,0.0920779,8.8862005,0.7392857,0.6947999,0.6895681,0.7392857,0.7392857,0.7392857,0.7392857
fri_c0_250_25-773.arff,25,2,250,12.3276048,4.5130922,1.7305531,0,0.1475908,0,0.0408895,2.1129014,0,0.1475908,0,0.0400955,1.9887294,0.669931,0.6677734,0.6868022,0.68916,0.6588022,0.6588022,0.6402942
dermatology-35.arff,34,6,366,16.919692,5.9559254,2.1305738,0.0932806,0.8631269,0.4270307,0.2288224,0.0646106,0.0932806,0.8631269,0.4270307,0.2255298,0.0618046,0.5911545,0.5948069,0.594547,0.6035806,0.5698894,0.5552616,0.5689602
fri_c1_250_25-746.arff,25,2,250,12.3546171,4.3808989,1.767809,0,0.3513711,0,0.0895644,3.1849124,0,0.3513711,0,0.0878251,2.99774,0.7042942,0.6928854,0.6776497,0.7042942,0.656,0.6696497,0.6776497
robot-failures-lp5-1520.arff,90,5,164,44.9814903,13.0931119,2.909101,0,0.8199432,0.3427202,0.1889187,-0.1473396,0,0.8199432,0.3427202,0.1878779,-0.1448993,0.6468531,0.647297,0.6262591,0.6597093,0.6323186,0.6121212,0.61183
fri_c1_1000_25-917.arff,25,2,1000,12.4653555,4.276435,2.1398401,0,0.3094534,0,0.0828737,3.1472204,0,0.3094534,0,0.0812643,2.9622631,0.7055045,0.7051883,0.66616,0.7132942,0.7056497,0.7056497,0.7056497
energy-efficiency-1472.arff,9,38,768,4.3751054,1.4146964,2.2865957,0,2.8483886,1.0326037,0.8796857,0.4419752,0,2.8483886,1.0326037,0.8345431,0.3715268,0.6015059,0.6015059,0.6015059,0.6015059,0.5551434,0.6015059,0.5908795
fri_c0_250_50-732.arff,50,2,250,24.8553199,9.4141156,1.6878172,0,0.1474185,0,0.0281287,4.1768162,0,0.1474185,0,0.0278516,4.0528848,0.6552092,0.6484881,0.6533034,0.6817023,0.6469051,0.6354654,0.6469051
kc1-binary-1066.arff,94,2,145,46.9499909,16.8950907,2.1241194,0,0.3273674,0.2228146,0.1217697,-0.4450299,0,0.3273674,0.2228146,0.1211271,-0.437971,0.6219289,0.6413131,0.6486418,0.6344828,0.608796,0.606618,0.6037534
fri_c2_100_50-922.arff,50,2,100,24.9153616,10.5962585,1.2598649,0,0.5591893,0,0.1040406,4.6295332,0,0.5591893,0,0.1030156,4.4921691,0.7094654,0.6723256,0.6663301,0.7094654,0.6889051,0.7094654,0.7094654
glass-1005.arff,9,2,214,4.4670408,1.4578395,2.2280919,0,0.2409753,0.0672194,0.0792497,1.5024081,0,0.2409753,0.0672194,0.0751828,1.2629325,0.6132935,0.6220371,0.6102477,0.6239106,0.5828606,0.6085328,0.6146083
fri_c2_100_25-775.arff,25,2,100,12.4229618,5.0554704,1.2989674,0,0.3759747,0,0.102569,3.29898,0,0.3759747,0,0.1005772,3.105104,0.7224355,0.7177697,0.687173,0.72,0.7276497,0.7088812,0.7276497
soybean-42.arff,35,19,683,17.4656844,6.4892979,1.6781841,0.0460895,1.1517242,0.361351,0.3029631,0.6007647,0.0460895,1.1517242,0.361351,0.2987256,0.5754097,0.5698653,0.5834641,0.5824349,0.571283,0.5431508,0.5701922,0.5577166
analcatdata_marketing-986.arff,32,2,364,15.9287391,5.3778558,2.1905921,0.0010591,0.024137,0.0065796,0.0058777,1.091111,0.0010591,0.024137,0.0065796,0.0057879,1.0408095,0.6634368,0.6635586,0.6547608,0.6594173,0.6238979,0.6465416,0.6310972
vehicle-54.arff,18,4,846,8.9384588,2.6703248,2.8936476,0.0545856,0.5710829,0.2306834,0.1680381,0.6131281,0.0545856,0.5710829,0.2306834,0.1635563,0.563415,0.5977331,0.6098728,0.6114115,0.5811584,0.571784,0.5795661,0.5978195
stock-841.arff,9,2,950,4.4753128,1.3113962,2.347137,0.0911666,0.6476425,0.2805076,0.1835353,0.7669621,0.0911666,0.6476425,0.2805076,0.1741168,0.6447126,0.6288653,0.6382917,0.6362942,0.6362942,0.6,0.6,0.6
mc2-1054.arff,39,2,161,19.3197639,6.3300896,2.1162694,0,0.167508,0.079813,0.046602,0.0692169,0,0.167508,0.079813,0.0460158,0.0665914,0.6655708,0.673736,0.6631207,0.68125,0.6493059,0.6555559,0.64375
vowel-307.arff,12,11,990,5.8195311,1.9865528,1.9005644,0,1.0587128,0.1716574,0.3574244,1.5259695,0,1.0587128,0.1716574,0.3434022,1.3422079,0.6140006,0.6310657,0.610493,0.6359481,0.6074514,0.5992737,0.5992737
cholesterol-798.arff,13,2,303,6.442555,2.0737393,2.2483493,0,0.0260985,0.000107,0.0080716,1.7405931,0,0.0260985,0.000107,0.007778,1.546711,0.634236,0.6358285,0.6278601,0.6410832,0.6045756,0.6212485,0.6264463
fri_c0_500_50-888.arff,50,2,500,24.869672,9.4105408,1.6735531,0,0.1922456,0,0.0329035,4.434747,0,0.1922456,0,0.0325793,4.3031625,0.6611711,0.6387708,0.6372228,0.6737023,0.6563178,0.6563178,0.6563178
autoUniv-au6-400-1551.arff,40,8,400,19.9703002,6.2342428,2.4610001,0,0.234314,0,0.0373067,6.082044,0,0.234314,0,0.0368489,5.8570415,0.650929,0.6428576,0.6385454,0.6586074,0.6225,0.6325,0.65
autoUniv-au7-500-1554.arff,12,5,500,5.9361443,1.9508735,2.1622949,0,0.0843291,0,0.0268003,1.8877226,0,0.0843291,0,0.0257489,1.6603977,0.6006507,0.6107792,0.6142909,0.6142909,0.5782232,0.592,0.6082232
plasma_retinol-915.arff,13,2,315,6.4754107,2.0551921,2.2763768,0,0.0383232,0,0.0107239,3.0076943,0,0.0383232,0,0.0103338,2.6726716,0.6401433,0.6419898,0.6360721,0.631746,0.631746,0.6198719,0.6063492
vehicle-994.arff,18,2,846,8.9450189,2.6302351,2.9017997,0.0130644,0.2809468,0.1092041,0.0910679,0.4056355,0.0130644,0.2809468,0.1092041,0.088639,0.3727461,0.5936445,0.5945383,0.595157,0.595157,0.5597751,0.5777834,0.5777834
KnuggetChase3-1448.arff,39,2,194,19.4779704,6.7721534,2.131486,0,0.0896664,0,0.0237084,2.2121485,0,0.0896664,0,0.0234101,2.1282397,0.6428804,0.6433226,0.6420267,0.650588,0.6358974,0.623426,0.6153846
zoo-62.arff,17,7,101,8.4162463,2.7397605,2.2215274,0.0506688,2.3905597,0.614494,0.5516544,1.9230332,0.0506688,2.3905597,0.614494,0.5361117,1.7581538,0.6010757,0.6094823,0.6113525,0.5940008,0.6047625,0.5762942,0.5913525
SPECTF-1600.arff,44,2,267,21.9167151,7.5149427,2.1665156,0,0.1550945,0.0432889,0.0433274,0.6878012,0,0.1550945,0.0432889,0.0428433,0.6646428,0.6640976,0.6673096,0.6635889,0.6747664,0.6451869,0.6407284,0.6422058
dresses-sales-23381.arff,12,2,500,5.9613993,1.9276451,2.1832068,0,0.0504273,0.0206098,0.016839,0.2500628,0,0.0504273,0.0206098,0.0161784,0.2199496,0.6266122,0.6265302,0.6194128,0.6274128,0.5934128,0.626,0.626
bridges-327.arff,12,6,105,5.9593399,1.9663331,2.1802543,0,2.3176028,0.3626326,0.6759938,1.867465,0,2.3176028,0.3626326,0.6494738,1.6425796,0.6274637,0.6427206,0.6323184,0.6095238,0.6095238,0.6095238,0.6095238
regime_alimentaire-42172.arff,19,2,202,9.3045876,2.8452994,2.8881978,0.0091414,0.4087815,0.0343901,0.1035764,2.4085651,0.0091414,0.4087815,0.0343901,0.1009538,2.2233337,0.6676195,0.6641074,0.6491232,0.6676195,0.654321,0.654321,0.6344918
fri_c1_500_25-779.arff,25,2,500,12.3468415,4.5621377,1.6850707,0,0.275741,0,0.0784203,2.9129689,0,0.275741,0,0.0768974,2.7417781,0.6756497,0.6710544,0.6433525,0.6756497,0.6756497,0.6756497,0.6756497
fri_c2_250_25-794.arff,25,2,250,12.4237493,4.5144404,1.6600677,0,0.4670314,0,0.1119863,3.3968921,0,0.4670314,0,0.1098116,3.197262,0.7067164,0.7077675,0.6948022,0.7242942,0.6962942,0.6922942,0.70116
autoUniv-au6-1000-1555.arff,40,8,1000,19.9811329,5.1579183,3.1667539,0,0.100455,0,0.0158886,6.2371943,0,0.100455,0,0.0156937,6.0064522,0.637302,0.6192846,0.6158391,0.638,0.606,0.6133242,0.6263242
fri_c3_250_10-793.arff,10,2,250,4.9205908,1.71782,1.6704136,0,0.4257406,0,0.1600784,1.7836917,0,0.4257406,0,0.1526288,1.5271442,0.6925767,0.6925767,0.6925767,0.6925767,0.6925767,0.6607606,0.6925767
autoUniv-au6-750-1549.arff,40,8,750,19.9663569,5.873193,2.901563,0,0.0101529,0,0.0019595,4.1753624,0,0.0101529,0,0.0019355,4.0208968,0.6305178,0.619499,0.6152766,0.6339909,0.6023736,0.624,0.6079587
chatfield_4-820.arff,12,2,235,5.9618406,1.9117697,2.1907837,0,0.7022796,0.4322074,0.1688516,-1.3338022,0,0.7022796,0.4322074,0.1622273,-1.173182,0.6435939,0.6427046,0.6442213,0.6442213,0.6135088,0.6186894,0.6186894
fri_c3_500_25-896.arff,25,2,500,12.2786966,4.243596,1.8674449,0,0.3197641,0,0.0877546,3.1587084,0,0.3197641,0,0.0860504,2.973076,0.6876497,0.6770346,0.6573525,0.6876497,0.6876497,0.6876497,0.6876497
flags-285.arff,29,8,194,14.2839558,5.4961421,1.6488953,0,2.3216834,0.1281052,0.4348347,4.147438,0,2.3216834,0.1281052,0.4275261,3.9367817,0.6350995,0.6434711,0.6272567,0.6287829,0.6288097,0.6133983,0.6327885
fri_c2_100_10-762.arff,10,2,100,4.9844401,1.7447673,1.8155788,0,0.3966081,0,0.1444159,1.9501749,0,0.3966081,0,0.1376952,1.6696822,0.6467606,0.667063,0.637173,0.6667606,0.6467606,0.6467606,0.6467606
breast-cancer-13.arff,9,2,286,4.4661699,1.3049559,2.4474811,0.0020016,0.0770099,0.025819,0.0299425,0.3053034,0.0020016,0.0770099,0.025819,0.0284059,0.2566397,0.6278732,0.6262374,0.6278732,0.6278732,0.59837,0.6035088,0.6103293
primary-tumor-171.arff,17,22,339,8.3815335,2.5563547,2.8884495,0.0203669,0.3214042,0.1701481,0.0902171,0.0964789,0.0203669,0.3214042,0.1701481,0.0876753,0.0882069,0.5866107,0.5953968,0.5965272,0.5940008,0.5677059,0.575939,0.5806842
fri_c4_100_50-932.arff,50,2,100,24.9456201,9.604102,1.4520043,0,0.3973686,0,0.0609844,5.6221982,0,0.3973686,0,0.0603836,5.4553804,0.7084271,0.6905226,0.7052228,0.7189051,0.7094654,0.7094654,0.7094654
collins-987.arff,23,2,500,10.9262222,4.2284709,1.4125662,0,0.6343096,0.0582462,0.2074173,2.1641028,0,0.6343096,0.0582462,0.2030502,2.0260777,0.602,0.6012827,0.602,0.602,0.5739747,0.5943599,0.602
parkinsons-1488.arff,22,2,195,10.96998,3.5347502,2.202549,0.0648361,0.3745785,0.1691107,0.0762604,1.1170804,0.0648361,0.3745785,0.1691107,0.0745841,1.0426598,0.6194626,0.622718,0.6101717,0.6192252,0.6110569,0.5948718,0.607532
CastMetal1-1447.arff,37,2,327,18.4794356,5.8941134,2.1907638,0,0.0715118,0,0.0237612,0.7150199,0,0.0715118,0,0.0234464,0.6864522,0.615916,0.6212699,0.6273128,0.621374,0.6,0.6152672,0.6190237
autoUniv-au7-700-1553.arff,12,3,700,5.9713028,1.8797143,2.233913,0,0.186299,0.0004561,0.0533056,3.2680812,0,0.186299,0.0004561,0.0512143,2.8745296,0.6531271,0.6589851,0.6585089,0.6599375,0.6328571,0.6328571,0.6474338
cleve-40710.arff,13,2,303,6.3815937,2.0009639,2.3612543,0,0.2132507,0.1168338,0.079803,0.0146335,0,0.2132507,0.1168338,0.0769001,0.0130035,0.5908152,0.5898349,0.5847409,0.5910381,0.5655804,0.5683559,0.5781293
anneal-989.arff,38,2,898,18.9021391,5.7432434,2.8889721,0,0.2121274,0,0.0425336,3.5483724,0,0.2121274,0,0.0419847,3.4102839,0.600707,0.6069004,0.6128869,0.6162183,0.591242,0.5983427,0.5950597
water-treatment-940.arff,38,2,527,18.970336,5.243174,2.9763342,0,0.6143331,0.0647682,0.1931456,1.0008534,0,0.6143331,0.0647682,0.1906533,0.9619042,0.6112115,0.6100093,0.60747,0.6113744,0.5867299,0.6113744,0.610661
autoUniv-au7-1100-1552.arff,12,5,1100,5.9032853,1.7470212,2.5861373,0,0.0780187,0.0040059,0.0297128,1.1064435,0,0.0780187,0.0040059,0.0285471,0.9732024,0.6419583,0.640817,0.6178596,0.6419583,0.6418182,0.6418182,0.6360414
